type,dt,fluxN,fluxS
diff,2016-01-01 00:00:00,4124.218827860044,4120.257520178219
mono,2016-01-01 00:00:00,3548.3719051847147,3559.24326776613
wave,2016-01-01 00:00:00,2010.047765917798,2012.945057241222
ions,2016-01-01 00:00:00,1010.2440687558246,1009.5263159727106
diff,2016-01-01 01:00:00,4047.5919346704486,4044.5589782648162
mono,2016-01-01 01:00:00,3356.8464152349165,3367.5639823824213
wave,2016-01-01 01:00:00,1845.439267730385,1848.0804299663123
ions,2016-01-01 01:00:00,955.4106941288844,954.7150412085294
diff,2016-01-01 02:00:00,4017.554419606335,4014.6462805458127
mono,2016-01-01 02:00:00,3300.8836647470825,3311.72974035688
wave,2016-01-01 02:00:00,1806.9213146778015,1809.770165048104
ions,2016-01-01 02:00:00,939.3389475325072,938.6491904864471
diff,2016-01-01 03:00:00,3906.882388127293,3904.2196732024177
mono,2016-01-01 03:00:00,3114.1087521594895,3124.3815884099927
wave,2016-01-01 03:00:00,1626.5828853355263,1628.2410385812286
ions,2016-01-01 03:00:00,889.1859499040088,888.5095231228863
diff,2016-01-01 04:00:00,3856.704979723384,3854.2201304280015
mono,2016-01-01 04:00:00,3043.987970789057,3054.8144192983355
wave,2016-01-01 04:00:00,1564.986993105295,1565.9116178086615
ions,2016-01-01 04:00:00,867.3225486636993,866.6488909543259
diff,2016-01-01 05:00:00,3667.5618872244777,3665.231230382372
mono,2016-01-01 05:00:00,2709.625589067542,2720.1061029681855
wave,2016-01-01 05:00:00,1358.1755728092537,1358.7245857095782
ions,2016-01-01 05:00:00,794.5432136617245,793.9019769442418
diff,2016-01-01 06:00:00,2186.6844680217787,2185.255952783549
mono,2016-01-01 06:00:00,1021.0065635657004,1023.9355819639835
wave,2016-01-01 06:00:00,597.0061520080963,598.0615473684057
ions,2016-01-01 06:00:00,455.7271968092946,455.1263668931046
diff,2016-01-01 07:00:00,3514.908428208598,3512.8781415510166
mono,2016-01-01 07:00:00,2460.952247374366,2470.90180959991
wave,2016-01-01 07:00:00,1227.4464813080274,1227.9811406299223
ions,2016-01-01 07:00:00,744.0785602547207,743.4443462470055
diff,2016-01-01 08:00:00,3347.736573326736,3346.074078068754
mono,2016-01-01 08:00:00,2213.662620385913,2223.159460343247
wave,2016-01-01 08:00:00,1107.1911581079228,1107.235364979881
ions,2016-01-01 08:00:00,696.7902934281022,696.1621859859895
diff,2016-01-01 09:00:00,648.9438698772126,646.3196989832618
mono,2016-01-01 09:00:00,255.10812344806845,254.35203171586497
wave,2016-01-01 09:00:00,109.97031629075119,109.72128536547208
ions,2016-01-01 09:00:00,215.35774284488483,214.72944892054844
diff,2016-01-01 10:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 10:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 10:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 10:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 11:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 11:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 11:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 11:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 12:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 12:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 12:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 12:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 13:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 13:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 13:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 13:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 14:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 14:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 14:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 14:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 15:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 15:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 15:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 15:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 16:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 16:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 16:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 16:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 17:00:00,1041.0575189347965,1038.3226545152088
mono,2016-01-01 17:00:00,437.64022099485567,437.38593834731773
wave,2016-01-01 17:00:00,267.85673035909764,268.54519924847
ions,2016-01-01 17:00:00,267.3646175133214,266.75672550200045
diff,2016-01-01 18:00:00,1499.023897894017,1496.8455393588974
mono,2016-01-01 18:00:00,643.7102254176574,644.2874715626881
wave,2016-01-01 18:00:00,405.9904326693247,406.3569537999759
ions,2016-01-01 18:00:00,339.325584217317,338.7342937472222
diff,2016-01-01 19:00:00,1160.1880377322018,1157.644802884377
mono,2016-01-01 19:00:00,491.9499702417354,491.84370617769775
wave,2016-01-01 19:00:00,314.8747719902718,315.507884656984
ions,2016-01-01 19:00:00,285.441732679754,284.84858185275516
diff,2016-01-01 20:00:00,1217.48178377458,1215.0534196159072
mono,2016-01-01 20:00:00,518.1652487553531,518.0550860142183
wave,2016-01-01 20:00:00,337.42216076083497,338.2028042656864
ions,2016-01-01 20:00:00,294.3739423095749,293.7824655609859
diff,2016-01-01 21:00:00,766.9483823461828,764.3562377597887
mono,2016-01-01 21:00:00,305.0711514132431,304.66863956216594
wave,2016-01-01 21:00:00,139.01196119835987,138.9574169294889
ions,2016-01-01 21:00:00,229.99287792539874,229.3588860651143
diff,2016-01-01 22:00:00,908.5652744105007,905.655601112016
mono,2016-01-01 22:00:00,376.1450947929294,375.8982471082357
wave,2016-01-01 22:00:00,167.24775588677613,167.08240795025887
ions,2016-01-01 22:00:00,249.88519189166868,249.26720825274367
diff,2016-01-01 23:00:00,1346.723623446324,1344.3848501379775
mono,2016-01-01 23:00:00,577.0852085004699,577.3792234621819
wave,2016-01-01 23:00:00,361.88915209332947,362.1152838607223
ions,2016-01-01 23:00:00,314.7239095260262,314.13071211613095
diff,2016-01-02 00:00:00,1249.2626769274088,1244.4597336450952
mono,2016-01-02 00:00:00,531.2020776835212,531.1677344018428
wave,2016-01-02 00:00:00,349.4905346984499,351.1301139249907
ions,2016-01-02 00:00:00,299.50273940155995,298.31956542156365
