type,dt,fluxN,fluxS
diff,2016-01-01 00:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 00:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 00:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 00:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 01:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 01:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 01:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 01:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 02:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 02:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 02:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 02:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 03:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 03:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 03:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 03:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 04:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 04:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 04:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 04:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 05:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 05:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 05:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 05:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 06:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 06:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 06:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 06:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 07:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 07:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 07:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 07:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 08:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 08:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 08:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 08:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 09:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 09:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 09:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 09:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 10:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 10:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 10:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 10:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 11:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 11:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 11:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 11:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 12:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 12:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 12:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 12:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 13:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 13:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 13:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 13:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 14:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 14:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 14:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 14:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 15:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 15:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 15:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 15:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 16:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 16:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 16:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 16:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 17:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 17:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 17:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 17:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 18:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 18:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 18:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 18:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 19:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 19:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 19:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 19:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 20:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 20:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 20:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 20:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 21:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 21:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 21:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 21:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 22:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 22:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 22:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 22:00:00,214.8780434585376,214.2506559392292
diff,2016-01-01 23:00:00,648.5709806323796,646.0444145058215
mono,2016-01-01 23:00:00,253.3253251609069,252.5466548145218
wave,2016-01-01 23:00:00,105.52923299493287,105.17293290441071
ions,2016-01-01 23:00:00,214.8780434585376,214.2506559392292
diff,2016-01-02 00:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 00:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 00:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 00:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 01:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 01:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 01:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 01:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 02:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 02:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 02:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 02:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 03:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 03:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 03:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 03:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 04:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 04:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 04:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 04:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 05:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 05:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 05:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 05:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 06:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 06:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 06:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 06:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 07:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 07:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 07:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 07:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 08:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 08:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 08:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 08:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 09:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 09:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 09:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 09:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 10:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 10:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 10:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 10:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 11:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 11:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 11:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 11:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 12:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 12:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 12:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 12:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 13:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 13:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 13:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 13:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 14:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 14:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 14:00:00,105.70738304019393,104.99478285914962
ions,2016-01-02 14:00:00,215.1917372181918,213.936962179575
diff,2016-01-02 15:00:00,649.8342636956587,644.7811314425423
mono,2016-01-02 15:00:00,253.71466033409945,252.15731964132928
wave,2016-01-02 15:00:00,105.70738304019393,104.99478285914962
