type,dt,fluxN,fluxS
diff,2016-01-01 00:00:00,4130.946004443422,4126.5222304068975
mono,2016-01-01 00:00:00,3574.0073239011463,3585.0897582478265
wave,2016-01-01 00:00:00,2038.5765571000898,2041.3648907159031
ions,2016-01-01 00:00:00,1022.34734958031,1021.6245410547073
diff,2016-01-01 01:00:00,4080.549683768762,4077.3924097323043
mono,2016-01-01 01:00:00,3417.869134517706,3428.6778221645563
wave,2016-01-01 01:00:00,1900.096603703435,1902.9868348228497
ions,2016-01-01 01:00:00,973.1965473802131,972.4941687691451
diff,2016-01-01 02:00:00,4042.969376338927,4039.9502966361697
mono,2016-01-01 02:00:00,3346.2294370008503,3356.748729024959
wave,2016-01-01 02:00:00,1835.3741413436358,1837.9879514179934
ions,2016-01-01 02:00:00,952.1728138634446,951.478411226004
diff,2016-01-01 03:00:00,3955.6933569693333,3952.899266140991
mono,2016-01-01 03:00:00,3203.427730866736,3213.8360109721903
wave,2016-01-01 03:00:00,1694.6391743211955,1696.9928456960051
ions,2016-01-01 03:00:00,910.7115412289456,910.031307776614
diff,2016-01-01 04:00:00,3923.8820627780988,3921.1398965833987
mono,2016-01-01 04:00:00,3150.9471127233305,3161.329242389491
wave,2016-01-01 04:00:00,1655.6005390474306,1657.4887062566636
ions,2016-01-01 04:00:00,897.0552512082432,896.377762034327
diff,2016-01-01 05:00:00,3562.734336870095,3560.653565361461
mono,2016-01-01 05:00:00,2534.0654028050867,2544.1625114506305
wave,2016-01-01 05:00:00,1267.3562770148546,1267.9362233181091
ions,2016-01-01 05:00:00,758.7304327641132,758.0940547223461
diff,2016-01-01 06:00:00,2694.267704002461,2693.2840598673224
mono,2016-01-01 06:00:00,1439.2708789915291,1444.4845750972495
wave,2016-01-01 06:00:00,779.178811093034,780.218096850868
ions,2016-01-01 06:00:00,549.2375804963415,548.6142810824033
diff,2016-01-01 07:00:00,3394.6919852217484,3392.971702020448
mono,2016-01-01 07:00:00,2280.5332754948586,2290.2853301633445
wave,2016-01-01 07:00:00,1129.182655925989,1129.0188861022116
ions,2016-01-01 07:00:00,709.4442599152644,708.8147395569216
diff,2016-01-01 08:00:00,3327.030974916543,3325.476700022754
mono,2016-01-01 08:00:00,2182.7485135502284,2192.1127235365866
wave,2016-01-01 08:00:00,1101.707950029762,1102.1795499554644
ions,2016-01-01 08:00:00,691.4550147730206,690.8276328021591
diff,2016-01-01 09:00:00,2054.7835635456167,2053.2238374803424
mono,2016-01-01 09:00:00,936.7392168308963,939.2043081190361
wave,2016-01-01 09:00:00,550.2232443267387,551.0287208195433
ions,2016-01-01 09:00:00,432.6433939497507,432.04529642188834
diff,2016-01-01 10:00:00,1312.0999745865236,1309.7242000544054
mono,2016-01-01 10:00:00,561.9227431833107,562.1491891770403
wave,2016-01-01 10:00:00,372.67420308294106,373.3433843212955
ions,2016-01-01 10:00:00,309.2057654799287,308.6124045290047
diff,2016-01-01 11:00:00,728.097271616882,725.318341919723
mono,2016-01-01 11:00:00,293.3400795816993,292.8909511052633
wave,2016-01-01 11:00:00,130.69660910027247,130.3526061923738
ions,2016-01-01 11:00:00,226.34634394596662,225.7126394882157
diff,2016-01-01 12:00:00,1078.327117537422,1075.632009243473
mono,2016-01-01 12:00:00,454.63577912513284,454.4669069191666
wave,2016-01-01 12:00:00,296.694778861745,297.5299026156673
ions,2016-01-01 12:00:00,272.9266754372879,272.32362071411103
diff,2016-01-01 13:00:00,1402.2808137074564,1400.0009609123695
mono,2016-01-01 13:00:00,603.352503714143,603.7968737548188
wave,2016-01-01 13:00:00,379.68341217212753,379.93819776630016
ions,2016-01-01 13:00:00,323.6455912292279,323.0529167541017
diff,2016-01-01 14:00:00,1743.0025996024392,1741.1233633414095
mono,2016-01-01 14:00:00,759.3039411029938,760.6518649879982
wave,2016-01-01 14:00:00,453.83529959075076,454.33421071866076
ions,2016-01-01 14:00:00,379.5851785928385,378.9971934607153
diff,2016-01-01 15:00:00,1766.3180885268234,1764.462849977315
mono,2016-01-01 15:00:00,771.6027503080168,773.0854702079425
wave,2016-01-01 15:00:00,461.7289471029923,462.25059848767035
ions,2016-01-01 15:00:00,383.4833552306937,382.89568148253886
diff,2016-01-01 16:00:00,1291.434995969189,1289.0371097195828
mono,2016-01-01 16:00:00,552.7740039733048,552.9860353688595
wave,2016-01-01 16:00:00,365.1808867029222,365.83607409823384
ions,2016-01-01 16:00:00,305.9241204829549,305.3306063841399
diff,2016-01-01 17:00:00,1706.3955124533718,1704.4785349568033
mono,2016-01-01 17:00:00,740.5163330071517,741.7058601323733
wave,2016-01-01 17:00:00,441.55198767116667,441.98986502862846
ions,2016-01-01 17:00:00,373.48450531470166,372.89602767844536
diff,2016-01-01 18:00:00,1520.255512253992,1518.099490347928
mono,2016-01-01 18:00:00,653.880657575228,654.5686062860982
wave,2016-01-01 18:00:00,412.3455806635361,412.83863934024356
ions,2016-01-01 18:00:00,342.78598106137275,342.19498350170124
diff,2016-01-01 19:00:00,1584.1544529319078,1582.1105218852745
mono,2016-01-01 19:00:00,681.1643917499343,682.0755804291556
wave,2016-01-01 19:00:00,423.94020076049736,424.47555842582983
ions,2016-01-01 19:00:00,353.284800235477,352.69468516176755
diff,2016-01-01 20:00:00,1058.5052822923392,1055.7870633408543
mono,2016-01-01 20:00:00,445.48099960893217,445.2972549462973
wave,2016-01-01 20:00:00,283.4230215270902,284.20917863740783
ions,2016-01-01 20:00:00,269.95718119351955,269.35125394406225
diff,2016-01-01 21:00:00,772.2893364217607,769.7430622666329
mono,2016-01-01 21:00:00,307.7139589460967,307.3194386913376
wave,2016-01-01 21:00:00,140.35403920672286,140.35720322459852
ions,2016-01-01 21:00:00,230.73450510881418,230.09739169750748
diff,2016-01-01 22:00:00,978.8698719266554,976.05285704619
mono,2016-01-01 22:00:00,410.332579499894,410.2047276623565
wave,2016-01-01 22:00:00,189.5886589401012,189.43228387861015
ions,2016-01-01 22:00:00,258.20344633470177,257.5836521467702
diff,2016-01-01 23:00:00,1602.6801409179727,1600.6555780549882
mono,2016-01-01 23:00:00,687.3141500122947,688.2475768512818
wave,2016-01-01 23:00:00,422.05032562035535,422.6112239718079
ions,2016-01-01 23:00:00,356.3298075850316,355.73994122864934
diff,2016-01-02 00:00:00,1255.2686806375568,1250.4782238188454
mono,2016-01-02 00:00:00,533.8031898686995,533.7862214925317
wave,2016-01-02 00:00:00,352.16920019694203,353.72126011518776
ions,2016-01-02 00:00:00,300.4514398175267,299.2683407112732
diff,2016-01-02 01:00:00,1649.7116962280677,1645.7586547661265
mono,2016-01-02 01:00:00,709.8877348842476,712.092223602423
wave,2016-01-02 01:00:00,431.59918606238455,432.73370155301103
ions,2016-01-02 01:00:00,364.2178677118427,363.0393644180057
